pagina,cifra,contexto,tema,verificabilidad,indicador_real,fuente_real,notas
22,94 %,"al servicio de las redes criminales. Por esta, entre otras razones, la impunidad de la corrupción se mantiene in- cólume prolongándose en el tiempo. En 2024, alcanzó una tasa del 94 %. De 32 departamentos, 20 tienen un porcentaje de impunidad superior al 95 % y 12 están entre el 90 % y el 94,9 %. A su turno, Bogotá tiene un 88 % de impunidad. Así, la macrocorru",General / otro,,,,
22,95 %,"nidad de la corrupción se mantiene in- cólume prolongándose en el tiempo. En 2024, alcanzó una tasa del 94 %. De 32 departamentos, 20 tienen un porcentaje de impunidad superior al 95 % y 12 están entre el 90 % y el 94,9 %. A su turno, Bogotá tiene un 88 % de impunidad. Así, la macrocorrupción inflige un daño estructural al país: deslegitima y ero- siona la democ",General / otro,,,,
22,90 %,"mantiene in- cólume prolongándose en el tiempo. En 2024, alcanzó una tasa del 94 %. De 32 departamentos, 20 tienen un porcentaje de impunidad superior al 95 % y 12 están entre el 90 % y el 94,9 %. A su turno, Bogotá tiene un 88 % de impunidad. Así, la macrocorrupción inflige un daño estructural al país: deslegitima y ero- siona la democracia; quiebra las reglas",General / otro,,,,
22,"94,9 %","in- cólume prolongándose en el tiempo. En 2024, alcanzó una tasa del 94 %. De 32 departamentos, 20 tienen un porcentaje de impunidad superior al 95 % y 12 están entre el 90 % y el 94,9 %. A su turno, Bogotá tiene un 88 % de impunidad. Así, la macrocorrupción inflige un daño estructural al país: deslegitima y ero- siona la democracia; quiebra las reglas de la compe",General / otro,,,,
22,88 %,"o. En 2024, alcanzó una tasa del 94 %. De 32 departamentos, 20 tienen un porcentaje de impunidad superior al 95 % y 12 están entre el 90 % y el 94,9 %. A su turno, Bogotá tiene un 88 % de impunidad. Así, la macrocorrupción inflige un daño estructural al país: deslegitima y ero- siona la democracia; quiebra las reglas de la competencia económica al fa- vorecer a",General / otro,,,,
42,23 %,"cantidad de conflictos, sino la forma en que se resuelven. En las últimas cuatro décadas, el porcentaje de guerras finalizadas mediante acuerdos de paz cayó dramáticamente: de un 23 % a apenas un 4 %. Es una señal clara del debilitamiento de los mecanismos de diálogo, diplomacia y negociación internacional. Estamos entrando, sin duda, en una etapa marcada por d",Paz / seguridad,,,,
42,4 %,"lictos, sino la forma en que se resuelven. En las últimas cuatro décadas, el porcentaje de guerras finalizadas mediante acuerdos de paz cayó dramáticamente: de un 23 % a apenas un 4 %. Es una señal clara del debilitamiento de los mecanismos de diálogo, diplomacia y negociación internacional. Estamos entrando, sin duda, en una etapa marcada por dinámicas peligro",Paz / seguridad,,,,
45,80 billones de pesos,"s grupos armados ilegales. Muchas lideresas y líderes sociales se han sacrificado por oponerse a la imposición de la economía del narcotráfi- co. En 20 años hemos gastado cerca de 80 billones de pesos en ese propósi- to. Nuestro país lo ha dado todo por liberarse de ese mal. No obstante, esa abnegación ha sido infructuosa. Llevamos mal contadas seis generaciones de narcotrafica",Paz / seguridad,,,,
62,360.000 personas,". Barranquilla que es una ciudad tan pujante, tan llena de imaginación con una gente que es fuente de nuestro mayor orgullo, no merece tener cinturones de miseria, no merece tener 360.000 personas que viven en la indigencia y en la miseria. Y por eso el día de mañana haremos una propuesta clara contra la po- breza, contra la desigualdad y contra el sentimiento de aversión,",Pobreza / inclusion,,,,
67,2030 Millones de,"2026-2030 Millones de personas en Colombia están siendo condenadas a sobrevivir sin lo mínimo para vivir con dignidad. Más de 17 millones de personas viven bajo la línea de la pobreza monetaria, con ing",Pobreza / inclusion,,,,
67,17 millones de,"2026-2030 Millones de personas en Colombia están siendo condenadas a sobrevivir sin lo mínimo para vivir con dignidad. Más de 17 millones de personas viven bajo la línea de la pobreza monetaria, con ingresos que no alcanzan para cubrir siquiera la canasta básica. Y aún más grave, casi 7 millones de personas se encuentra",Pobreza / inclusion,,,,
67,7 millones de,"on dignidad. Más de 17 millones de personas viven bajo la línea de la pobreza monetaria, con ingresos que no alcanzan para cubrir siquiera la canasta básica. Y aún más grave, casi 7 millones de personas se encuentran en situación de pobreza extrema, lo que quiere decir que no tienen medios mínimos para ali- mentarse, acceder a agua potable, atención médica o un techo dign",Medio ambiente,,,,
67,29%,"o puede seguir siendo el clima natural de nuestras ciudades. Aunque entre el 2020 y el 2023, es decir, parte de este gobierno, el país logró reducir la pobreza monetaria del 42 al 29%, lo que demuestra que con volun- tad política se puede cambiar esas realidades, no podemos ignorar que en ciudades como Barranquilla más de 360.000 personas siguen atrapadas en es",Medio ambiente,,,,
67,360.000 personas,"ucir la pobreza monetaria del 42 al 29%, lo que demuestra que con volun- tad política se puede cambiar esas realidades, no podemos ignorar que en ciudades como Barranquilla más de 360.000 personas siguen atrapadas en esa sequía permanente. Y no, no podemos resignarnos a que en Barranquilla siga existiendo la pobreza. *** La pobreza no es solo una falta de ingresos, es una s",Pobreza / inclusion,,,,
78,24 %,"l papa Francisco entre otros, la irrupción de la Tercera Guerra Mundial en el planeta. Eso ante nuestros ojos. Hay 61 conflictos armados en curso actualmente en todo el mundo y de 24 % de los conflictos que se resolvían mediante la vía del diálogo, hemos pasado a 4 % en cuestión de unas décadas. Es decir, hay una crisis mundial del diálo- go como forma de resolv",Paz / seguridad,,,,
78,4 %,"a. Eso ante nuestros ojos. Hay 61 conflictos armados en curso actualmente en todo el mundo y de 24 % de los conflictos que se resolvían mediante la vía del diálogo, hemos pasado a 4 % en cuestión de unas décadas. Es decir, hay una crisis mundial del diálo- go como forma de resolver los conflictos armados. | 76 |",Paz / seguridad,,,,
79,17 millones de,"des más desiguales del pla- neta. Seguimos siendo, a pesar de los cambios que ha producido nuestro gobierno que son significativos, una sociedad eminentemente desigual, en el cual 17 millones de personas viven por debajo de la línea de la pobreza monetaria. Esto significa que necesitamos ir más allá de una política de subsidios. No basta con entregar renta básica, no basta",Pobreza / inclusion,,,,
86,110.121 personas,"y satisfacción de los derechos a la verdad y la justicia, del gran universo de víctimas que hay en Colombia, y que al día de hoy según el Registro Único de Víctimas asciende a 10’110.121 personas. En este sentido, debemos fortalecer un concepto de reparación que va más allá de la reparación administrativa e indemnizatoria de carácter individual. Las reparaciones, especialm",General / otro,,,,
92,6 millones de,"quisición de tierras, pero el gobierno de Andrés Pastrana volvió a frenar el proceso. Luego, bajo los dos gobiernos de Álvaro Uribe Vélez se intentó legalizar el despojo de más de 6 millones de hectáreas arrebatadas al campesinado por los paramilitares y la parapolítica a través de masacres, desapariciones y desplazamientos forzados. Esa tierra fue luego vendida mediante",Reforma agraria / tierra,,,,
93,10 millones de,"o y del gobierno del Pacto Histórico en mi gobierno. *** Estos procesos de concentración de tierra han sido a costa de crímenes de lesa humanidad contra el campesinado. Hoy de los 10 millones de víctimas que están en el Registro Único Nacional, de cada 10 víctimas en Colombia, 6 son de origen campesino. Las mujeres han sufrido la peor parte de esa violen- cia, pero también",Reforma agraria / tierra,,,,
93,10%,"han impedido que los campesinos pescadores siembren y pesquen para subsistir. Como sabemos, eso ha llevado a una estructura del mundo rural monstruosa- mente desigual: mientras el 10% de los más ricos sigue poseyendo el 81% de las tierras cultivables, el 90% de los propietarios solo tienen para su aprove- chamiento el 19% de la superficie rural. Debemos acabar",Reforma agraria / tierra,,,,
93,81%,"es siembren y pesquen para subsistir. Como sabemos, eso ha llevado a una estructura del mundo rural monstruosa- mente desigual: mientras el 10% de los más ricos sigue poseyendo el 81% de las tierras cultivables, el 90% de los propietarios solo tienen para su aprove- chamiento el 19% de la superficie rural. Debemos acabar con esa desigualdad vergonzosa. Esta es",Reforma agraria / tierra,,,,
93,90%,"r. Como sabemos, eso ha llevado a una estructura del mundo rural monstruosa- mente desigual: mientras el 10% de los más ricos sigue poseyendo el 81% de las tierras cultivables, el 90% de los propietarios solo tienen para su aprove- chamiento el 19% de la superficie rural. Debemos acabar con esa desigualdad vergonzosa. Esta es una de las mayores causas de la pob",Reforma agraria / tierra,,,,
93,19%,"monstruosa- mente desigual: mientras el 10% de los más ricos sigue poseyendo el 81% de las tierras cultivables, el 90% de los propietarios solo tienen para su aprove- chamiento el 19% de la superficie rural. Debemos acabar con esa desigualdad vergonzosa. Esta es una de las mayores causas de la pobreza y de la desigualdad en el campo y en las zonas urbanas perif",Reforma agraria / tierra,,,,
116,42 municipios,"PROGRAMA DE GOBIERNO DE IVÁN CEPEDA CASTRO acuerdo entre el Gobierno nacional, gobierno departamental, municipios y comunidades. Por primera vez, 42 municipios del Cauca están unidos en una agenda común de desarrollo, agrupados en 7 subregiones estratégicas. Este pacto prioriza la inversión social, el acceso al agua, vivienda, salud, edu",Salud,,,,
116,27.6 billones de pesos,"del Pacto Territorial del Cau- ca. Ese no es un documento burocrático, es un mandato del pueblo caucano. Hablamos de 205 proyectos estratégicos, con una inversión, óigase bien, de 27.6 billones de pesos. Cada peso de esa suma debe traducirse en agua limpia, caminos rurales, hospitales, escuelas, energías limpias y proyectos producti- vos para las comunidades. Esos recursos no pue",Salud,,,,
116,30.000 km,"ia, ingeniería y trabajo colectivo a los rincones olvidados del país. Sabemos que cuando llega una carretera, llega la esperanza, llega el Estado y puede llegar la paz. Con más de 30.000 km que necesitamos construir de caminos rurales, el campesinado y los pueblos que habitan los territorios del campo podrán sacar los frutos de su cosecha sin perder dinero y recursos",Empleo / trabajo,,,,
121,5 millones de,"ha pagado con la vida de cientos de sus servidores públicos el enfrentamiento con las mafias y los carteles de las drogas ilícitas. En cambio, en Estados Unidos hay un mercado de 5 millones de consumido- res de cocaína, fentanilo y otras drogas ilícitas. Le preguntamos desde aquí al presidente Donald Trump, ¿qué está haciendo él en la lucha contra el narcotrá- fico? ¿Con",General / otro,,,,
122,10 millones de,". No podemos seguir permitiendo los crímenes de lesa humanidad, el genocidio, el desplazamiento, las masacres, los asesinatos de líderes sociales. Debemos elevar las víctimas, los 10 millones de víctimas como referente mo- ral de la vida, la verdad y la justicia y gobernaré para las víctimas también co- mo una población central de mi gobierno y de su programa. Habrá repara",General / otro,,,,
127,5 millones de,"es un líder nacional e inter- nacional de la dignidad de los pueblos. Narcotraficantes son aquellos que hay en Estados Unidos y que tienen infes- tado a ese país de un mercado de 5 millones de consumidores de cocaína, que no decrece y que nadie descertifica, además, porque aquí las certificacio- nes son unilaterales. Entonces, si vamos a sacar cuentas, quien es un luchad",General / otro,,,,
151,2 millones,"esencialmente democrática, que no le teme a la democra- cia y que se ha medido en las urnas con los ciudadanos y ciudadanas. Lo primero, por supuesto, es agradecerle a las más de 2 millones, ciudadanas y ciudadanos, que han depositado su confianza y me han entregado este mandato como ya candidato del Pacto Histórico al próximo momento de este proceso. Deseo agradecer",General / otro,,,,
190,200 familias,"jefe paramilitar. En marzo de 2024, el presidente Gustavo Petro entregó, en esta misma plaza, 1.414 hectáreas de tierra adquiridas al empresario Carlos Cavalier. Desde en- tonces, 200 familias víctimas de la violencia, algunas de ellas descendientes de Felicita Campos, trabajan estas tierras, las cultivan y producen alimentos. Las fincas Simba y Potosí, que suman 2.000",Reforma agraria / tierra,,,,
191,"2,8 millones de","rque es necesario mostrar que sí se puede gobernar pensando en el pueblo: En estos tres años y medio, Colombia ha experimentado una transformación social sin precedentes. • Más de 2,8 millones de personas salieron de la pobreza monetaria y 420 mil superaron la pobreza extrema. La desigualdad también se redujo de manera histórica. • Ha aumentado 37% el salario mínimo y se cr",Pobreza / inclusion,,,,
191,37%,"es. • Más de 2,8 millones de personas salieron de la pobreza monetaria y 420 mil superaron la pobreza extrema. La desigualdad también se redujo de manera histórica. • Ha aumentado 37% el salario mínimo y se crearon más de 2,5 millones de empleos. • Se duplicó el subsidio a adultos mayores, beneficiando a 1’100.000 perso- nas a través del programa Colombia Mayor",Empleo / trabajo,,,,
191,"2,5 millones de","eron de la pobreza monetaria y 420 mil superaron la pobreza extrema. La desigualdad también se redujo de manera histórica. • Ha aumentado 37% el salario mínimo y se crearon más de 2,5 millones de empleos. • Se duplicó el subsidio a adultos mayores, beneficiando a 1’100.000 perso- nas a través del programa Colombia Mayor. • Este gobierno ha tenido una conquista histórica. Si",Empleo / trabajo,,,,
192,"1,8 millones de","y terratenien- tes que habían sido sus socios electorales. Eso nunca más vamos a per- mitir que pase. Los recursos de los campesinos son para los campesinos. • Se han formalizado 1,8 millones de hectáreas. Se han creado 17 Zonas de Reserva Campesina y se han reconocido los primeros Territorios Campesi- nos Agroalimentarios, TECAM. • Nuestro gobierno ha activado los 610 Com",Empleo / trabajo,,,,
200,80 %,"bia es un país rico en agua, tiene mares, caudalosos ríos, lagos, lagunas, pero millones de personas viven sin acceso a agua potable. Eso es inadmisible. Óigase bien este dato: el 80 % de los municipios del país tienen algún tipo de dificultad con la calidad del agua para consumo humano. En muchas regiones rurales, el agua que se bebe es la misma que se usa para",Reforma agraria / tierra,,,,
219,23%,"2026-2030 Uno muy reciente, un logro histórico y profundamente humano: el aumento del salario mínimo en un 23% que hoy podemos llamar con justicia salario vital. Durante décadas nos han dijeron que mejorar los ingresos de quienes tra- bajan era imposible, que eso condenaría al país al cola",General / otro,,,,
219,"3,6%","remos si quieren quitarle a la gente sus derechos. Un segundo logro: hoy podemos decirlo y demostrarlo, las cifras están ahí a la mano: la economía colombiana está creciendo en un 3,6%, la inflación se ha reducido en 5,3%, un índice no visto desde hace tiempo y la tasa de des- empleo disminuyó 8,2%, una de las más bajas en la historia reciente del país. Esto sen",Empleo / trabajo,,,,
219,"5,3%","sus derechos. Un segundo logro: hoy podemos decirlo y demostrarlo, las cifras están ahí a la mano: la economía colombiana está creciendo en un 3,6%, la inflación se ha reducido en 5,3%, un índice no visto desde hace tiempo y la tasa de des- empleo disminuyó 8,2%, una de las más bajas en la historia reciente del país. Esto sencillamente demuestra que cuando se fo",Empleo / trabajo,,,,
219,"8,2%","están ahí a la mano: la economía colombiana está creciendo en un 3,6%, la inflación se ha reducido en 5,3%, un índice no visto desde hace tiempo y la tasa de des- empleo disminuyó 8,2%, una de las más bajas en la historia reciente del país. Esto sencillamente demuestra que cuando se fortalece el ingreso de la gente se fortalece el mercado interno, la producción",Empleo / trabajo,,,,
220,80%,"iere tener agua potable, apta pa- ra el consumo humano para todos los municipios, porque el agua es un derecho fundamental y la base de la vida. Hoy debemos decir con tristeza que 80% de los municipios del país no cuentan con agua potable. Esto es un crimen, realmente, en un país que tiene tanta riqueza hídrica como Colombia y vamos a acabar con eso. Haremos to",Paz / seguridad,,,,
220,45%,"s los municipios del país, priorizando fuentes de energía alternativa y limpia, que lleven desarrollo sin destruir el territo- rio y que permitan cerrar brechas históricas. Hoy el 45% de los municipios del país tienen severos problemas de suministro de energía eléctrica. 3. Vamos a hacer todos los esfuerzos para que los municipios del país y los territorios ten",General / otro,,,,
226,23 %,"transformaciones reales que ya están cambiando la vida de millones de personas y hogares colombianos. Un logro histórico, profundamente humano, el aumento del salario mínimo en un 23 %, que hoy podemos llamar con justicia salario vital. Durante décadas intentaron convencernos que era imposible, que mejorar los ingresos de los trabajadores y de las trabajadoras p",Vivienda,,,,
226,800.000 personas,"emostrado este Gobierno es que cuando mejora la calidad de vida del pueblo, mejora y se fortalece la economía. Otro logro, bajo nuestro Gobierno, compañeras y compañeros: más de 2’800.000 personas han salido de la pobreza monetaria y 420.000 de la po- breza extrema. La desigualdad también se redujo de manera histórica. Son logros, no son palabras ni promesas. En salud que t",Salud,,,,
226,7.5 millones de,"Son logros, no son palabras ni promesas. En salud que tanto dicen y critican la política en materia de salud. Se des- plegaron 10.000 equipos básicos de atención que hoy llegan a 7.5 millones de hogares y se fortaleció la infraestructura hospitalaria con más de 1.300 proyectos. Pero eso, claro que no es suficiente. Requerimos una reforma a la salud que deje de convertir la",Salud,,,,
227,75%,"2026-2030 llegado a 270.000 de ellas ya entregadas a familias campesinas. Se han for- malizado 1’800.000 hectáreas, superando en 75% al gobierno anterior. Se crearon 17 zonas de reserva campesina y reconocieron los primeros terri- torios campesinos agroalimentarios. El campesinado en este Gobierno es por primer",Reforma agraria / tierra,,,,
227,80%,"del país. 2. Vamos a buscar resolver los problemas en materia de consumo y acceso a la energía eléctrica, priorizando fuentes de energía alternativa y limpia. No es posible que el 80% de los municipios rurales del país no tengan agua potable. No es posible que 45% de los municipios del país sigan te- niendo problema de energía eléctrica. 3. Vamos a avanzar al m",Reforma agraria / tierra,,,,
227,45%,"a la energía eléctrica, priorizando fuentes de energía alternativa y limpia. No es posible que el 80% de los municipios rurales del país no tengan agua potable. No es posible que 45% de los municipios del país sigan te- niendo problema de energía eléctrica. 3. Vamos a avanzar al máximo en construir vías terciarias, vías fluviales, vías aéreas para conectar a l",Reforma agraria / tierra,,,,
255,23%,"o en condenar con furia el aumento del salario mínimo para los trabajadores y trabajadoras, hoy convertido, gra- cias a nuestro gobierno, en un salario vital con un incremento del 23%. La austeridad siempre ha sido para el pueblo, nunca para ellos. | 253 |",General / otro,,,,
262,23%,"idades afro, la riqueza que producen los trabajadores y las trabajadoras. Este gobierno convirtió el salario mínimo en salario vital con un aumento sos- tenido que este año es del 23%; este gobierno le redujo, por fin, el salario a los congresistas; este gobierno ha sacado de la pobreza a más de dos millones de personas, ha entregado cientos de miles de hectáre",Pobreza / inclusion,,,,
268,71.000 personas,"ar y defender los peores crímenes que se cometen en el mundo. Niegan lo evidente: que en Gaza se ha perpetrado un genocidio contra el pueblo palestino, que ha cobra- do la vida de 71.000 personas, entre ellas 20.000 niñas y niños. No es casual, entonces, que miren con simpatía la violencia cotidiana contra migrantes y ciudadanos en las calles de los Estados Unidos. Celebra",General / otro,,,,
276,50%,"tenemos grandes ecosistemas diversos que conver- gen y generan mayor diversidad, sistemas como la Amazonía, el Chocó bio- geográfico, la Orinoquía, el Caribe seco; tenemos más de 50% de los páramos de todo el planeta y extensas selvas húmedas tropicales; somos uno de los países con mayor número de aves, plantas, anfibios, reptiles y mariposas. Por eso Colombia",General / otro,,,,
290,700.000 personas,"del país, aumentando el daño a los derechos de millones de personas. 5. El conjunto de estos hechos configura también una grave violación de los derechos políticos de los más de 2’700.000 personas que votaron en nuestra consulta el 26 de octubre de 2025. Lo que está ocurriendo constituye una operación antidemocrática, sin prece- dentes, en la historia reciente del país. Se",General / otro,,,,
300,3 millones de,"tica más poderosa e influyente en el país. No sólo no han podido evitar que hiciéramos la consulta el 26 de octubre de 2025, sino que además logramos llevar a las urnas a cerca de 3 millones de | 298 |",General / otro,,,,
301,2030 personas,"2026-2030 personas, en un éxito contundente, y en una elección que no tiene preceden- tes en la historia del país, al elegirme como candidato presidencial y al elegir de manera paritaria, las mujere",Mujer / genero,,,,
301,40%,"y segunda vueltas, el Pacto apa- rece como el partido político con el que se identifican más colombianos, y el presidente Gustavo Petro con una imagen favorable por el encima del 40%. Han fracasado, sus trampas y jugadas sucias no han podido frustrar nuestro camino ascendente. Para mayor tristeza de los adversarios, en una gestión que sin lugar a duda es un ac",General / otro,,,,
309,40%,"s sociales. Pero tampoco nada de eso les ha salido bien. En todas las encuestas practicadas hasta hoy el presidente Gustavo Pe- tro aparece con una imagen favorable por encima del 40%. La realidad es que la gente del común quiere y respalda al Presidente, al go- bierno, a los cambios sociales que se han logrado, y que está dispuesta a defenderlos con la moviliz",General / otro,,,,
314,1. Millones de,"acción política como fuerzas democráti- cas y progresistas en el Congreso. Gracias a esa labor en estos años hemos conseguido algunas transformaciones reales, menciono solo cinco: 1. Millones de adultos mayores que nunca habían recibido una pensión hoy reciben cerca de 240.000 pesos mensuales gracias a la reforma pensional. 2. La reforma laboral y la política de salario vi",Empleo / trabajo,,,,
