id,pagina,cifra_en_plan,contexto_resumido,tema,tipo_cifra,verificabilidad,estado,indicador_real_2025_2026,brecha_o_diferencia,fuente_contraste,notas_analiticas
1,22,94% impunidad corrupcion,"En 2024 la impunidad de corrupcion alcanzo 94%. 20 de 32 departamentos superan 95%.",Corrupcion / justicia,Diagnostico,VERIFICABLE,Consistente,"Indice de impunidad Colombia: 94% segun Consejo Ciudadano para la Seguridad",Consistente con datos publicos,Consejo Ciudadano para la Seguridad Publica (2024),"Cifra coherente y verificable. Fuente: CCSPJP"
2,42,23% a 4% guerras resueltas por dialogo,"Guerras resueltas por acuerdos cayeron de 23% a 4% en cuatro decadas.",Paz / seguridad,Diagnostico internacional,VERIFICABLE,Consistente,"SIPRI 2024: proporcion acuerdos de paz en declive desde anos 90","Tendencia confirma declive global del dialogo",SIPRI Yearbook 2024,"Dato de contexto internacional verificable. Cepeda lo usa para justificar agenda de paz"
3,45,80 billones de pesos en narcotrafico en 20 anos,"En 20 anos se gastaron cerca de 80 billones de pesos en la guerra contra el narcotrafico.",Paz / seguridad,Diagnostico,PARCIALMENTE VERIFICABLE,Con matices,"Ministerio de Hacienda no publica acumulado especifico; estimados academicos rondan cifras similares","Orden de magnitud plausible pero impreciso",UNODC; Ministerio de Defensa (estimaciones),"No hay fuente oficial unica. El orden de magnitud es plausible segun analistas"
4,62,360000 personas en indigencia en Barranquilla,"Barranquilla tiene 360.000 personas en la indigencia y la miseria.",Pobreza / inclusion,Diagnostico,VERIFICABLE,Consistente,"DANE ECV 2023: pobreza extrema Barranquilla aprox 6-7% de ~2.4M habitantes = 145k-168k","Cifra del plan duplica estimado DANE","DANE Encuesta Calidad de Vida 2023","La cifra parece sobreestimada frente a DANE; posiblemente suma pobreza monetaria no solo extrema"
5,67,17 millones de personas en pobreza monetaria,"Mas de 17 millones de personas viven bajo la linea de pobreza monetaria.",Pobreza / inclusion,Diagnostico,VERIFICABLE,Con matices,"DANE 2024: pobreza monetaria 29% sobre ~52M habitantes = aprox 15.1M","Diferencia de ~2M personas; posible dato de periodo diferente","DANE Pobreza Monetaria 2024","Cifra cercana pero ligeramente superior al dato oficial mas reciente"
6,67,7 millones en pobreza extrema,"Casi 7 millones de personas en pobreza extrema.",Pobreza / inclusion,Diagnostico,VERIFICABLE,Con matices,"DANE 2024: pobreza extrema 8.5% = aprox 4.4M personas","Diferencia de ~2.6M; posible dato pre-reformas sociales","DANE Pobreza Monetaria 2024","La cifra parece corresponder a un periodo anterior al gobierno Petro"
7,67,pobreza monetaria bajo de 42% a 29%,"Entre 2020 y 2023 el pais redujo la pobreza monetaria del 42% al 29%.",Pobreza / inclusion,Logro gobierno Petro,VERIFICABLE,Consistente,"DANE: pobreza monetaria 2020=42.5%; 2023=33%; 2024=29%","Consistente; la reduccion es real aunque gradual",DANE Pobreza Monetaria 2020-2024,"Dato verificable y consistente con DANE. El 42 es de 2020 (pandemia) y el 29 de 2024"
8,86,10110121 victimas en Registro Unico de Victimas,"Al dia de hoy el Registro Unico de Victimas asciende a 10 millones 110.121 personas.",Paz / seguridad,Diagnostico,VERIFICABLE,Consistente,"RUV junio 2025: 9.56 millones de victimas incluidas (activas)","Diferencia menor; total historico supera 10M","Unidad para las Victimas - RUV 2025","Cifra coherente. El total historico supera 10M aunque victimas activas son ~9.5M"
9,93,"10% ricos poseen 81% de tierras; 90% propietarios tienen 19%","El 10% de los mas ricos posee el 81% de las tierras cultivables.",Reforma agraria / tierra,Diagnostico,VERIFICABLE,Consistente,"IGAC-OXFAM 2017: 1% mas rico controla 81% de tierra productiva; Gini tierra >0.89","Dato estructural consistente con fuentes academicas","IGAC 2017; OXFAM Colombia 2017","Cifra ampliamente documentada. El Gini de tierra en Colombia es 0.89 uno de los mas altos del mundo"
10,116,42 municipios del Cauca unidos en agenda comun,"42 municipios del Cauca estan unidos en agenda comun de desarrollo en 7 subregiones.",Reforma agraria / tierra,Logro gobierno Petro,VERIFICABLE,Consistente,"Cauca tiene 42 municipios segun DANE; el Pacto Territorial del Cauca es documentado","Cifra exacta verificable","Gobernacion del Cauca 2024","Dato geografico verificable. El Pacto Territorial del Cauca existe"
